Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Safety Stock,EOQ,Inventory Cost,Forecasted Demand,Required Order Quantity,Reorder Point
haircare,SKU0,69.80800554,55,802,8661.996792,Non-binary,58,7,96,4,Carrier B,2.956572139,Supplier 3,Mumbai,29,215,29,46.27987924,Pending,0.226410361,Road,Route B,187.7520755,1303.3322310087485,179.10890541790488,7412.205682133267,802.0,2047.3322310087485,6917.332231008749
skincare,SKU1,14.84352328,95,736,7460.900065,Female,53,30,37,2,Carrier A,9.716574771,Supplier 3,Mumbai,23,517,30,33.61676895,Pending,4.854068026,Road,Route B,503.0655791,2698.1540549999113,171.58088471621772,14348.674698580646,736.0,3381.1540549999113,24778.15405499991
haircare,SKU2,11.31968329,34,8,9577.749626,Unknown,1,10,88,2,Carrier B,8.054479262,Supplier 1,Mumbai,12,971,27,30.68801935,Pending,4.580592619,Air,Route C,141.9202818,1557.7799699692794,17.88854381999832,7878.342568946388,8.0,1564.7799699692794,1637.7799699692794
skincare,SKU3,61.16334302,68,83,7766.836426,Non-binary,23,13,59,6,Carrier C,1.729568564,Supplier 5,Kolkata,24,937,18,35.6247414,Fail,4.746648621,Rail,Route A,254.7761592,1776.1424394706453,57.619441163551734,9168.809403170984,83.0,1836.1424394706453,2855.1424394706455
skincare,SKU4,4.805496036,26,871,2686.505152,Non-binary,5,3,56,8,Carrier A,3.890547916,Supplier 1,Delhi,5,414,3,92.0651606,Fail,3.145579523,Air,Route A,923.4406317,853.2312291818944,186.65476152512156,5199.42995353508,871.0,1719.2312291818944,3466.2312291818944
haircare,SKU5,1.699976014,87,147,2828.348746,Non-binary,90,27,66,3,Carrier B,4.444098864,Supplier 4,Bangalore,10,104,17,56.76647556,Fail,2.779193512,Road,Route A,235.4612367,2559.6936875456836,76.68115805072325,13181.874227982033,147.0,2616.6936875456836,6528.693687545683
skincare,SKU6,4.078332863,48,65,7823.47656,Male,11,15,58,8,Carrier C,3.880763303,Supplier 3,Kolkata,14,314,24,1.08506857,Pending,1.000910619,Sea,Route A,134.3690969,1907.8830289764182,50.99019513592785,9794.366120561732,65.0,1961.8830289764182,2882.8830289764182
cosmetics,SKU7,42.95838438,59,426,8496.103813,Female,93,17,11,1,Carrier B,2.348338784,Supplier 4,Bangalore,22,564,1,99.4661086,Fail,0.398177187,Road,Route C,802.0563118,2031.096585400047,130.53735097664577,10808.169681883464,426.0,2364.096585400047,9273.096585400046
cosmetics,SKU8,68.71759675,78,150,7517.363211,Female,5,10,15,7,Carrier C,3.404733857,Supplier 4,Mumbai,13,769,8,11.42302714,Pending,2.709862691,Sea,Route B,505.5571342,1557.7799699692794,77.45966692414834,8176.198184467138,150.0,1702.7799699692794,3057.7799699692796
skincare,SKU9,64.01573294,35,980,4971.145988,Unknown,14,27,83,1,Carrier A,7.166645291,Supplier 2,Chennai,29,963,23,47.95760163,Pending,3.844614479,Rail,Route B,995.9294615,2559.6936875456836,197.9898987322333,13788.417931389584,980.0,3525.6936875456836,29019.693687545685
skincare,SKU10,15.70779568,11,996,2330.965802,Non-binary,51,13,80,2,Carrier C,8.673211211,Supplier 5,Kolkata,18,830,5,96.52735279,Pass,1.727313928,Road,Route B,806.1031777,1776.1424394706453,199.5995991979944,9878.710193343199,996.0,2721.1424394706455,14724.142439470645
skincare,SKU11,90.63545998,95,960,6099.944116,Female,46,23,60,1,Carrier A,4.523943124,Supplier 2,Kolkata,28,362,11,27.59236309,Pending,0.021169821,Air,Route A,126.7230334,2362.490296303082,195.95917942265424,12792.247378628681,960.0,3276.490296303082,24442.490296303084
haircare,SKU12,71.21338908,41,336,2873.741446,Unknown,100,30,85,4,Carrier A,1.32527401,Supplier 4,Kolkata,3,563,3,32.32128621,Fail,2.161253748,Road,Route B,402.9687891,2698.1540549999113,115.9310139695155,14070.425344847134,336.0,2934.1540549999113,12778.154054999912
skincare,SKU13,16.16039332,5,249,4052.738416,Male,80,8,48,9,Carrier A,9.537283061,Supplier 5,Bangalore,23,173,10,97.82905011,Pending,1.63107423,Road,Route B,547.2410052,1393.3207627355557,99.7997995989972,7465.602811672765,249.0,1562.3207627355557,3385.320762735556
skincare,SKU14,99.17132864,26,562,8653.570926,Non-binary,54,29,78,5,Carrier B,2.039770189,Supplier 1,Kolkata,25,558,14,5.79143663,Pending,0.100682852,Air,Route B,929.23529,2652.803698170808,149.9333185119305,14013.685083413691,562.0,3160.803698170808,18950.803698170806
skincare,SKU15,36.98924493,94,469,5442.086785,Non-binary,9,8,69,7,Carrier B,2.422039723,Supplier 1,Bangalore,14,580,7,97.12128175,Pass,2.264405761,Sea,Route B,127.8618,1393.3207627355557,136.96714934611146,7651.439560408337,469.0,1853.3207627355557,5145.320762735556
skincare,SKU16,7.54717211,74,280,6453.797968,Female,2,5,78,1,Carrier B,4.191324586,Supplier 1,Bangalore,3,399,21,77.1063425,Pass,1.012563089,Air,Route A,865.5257798,1101.5167803618538,105.83005244258362,6036.734164022187,280.0,1379.5167803618538,2501.5167803618538
